#chrom	start	end	strand	gene	gene_id	transcripts
chr1	1292390	1307930	-	ACAP3	ACAP3	8
chr1	1296109	1296170	-	MIR6726	MIR6726	1
chr1	1304728	1304812	-	SNORD167	SNORD167	1
chr1	1308596	1311677	+	PUSL1	PUSL1	7
chr1	1311599	1324660	-	INTS11	INTS11	8
chr1	1312501	1312566	-	MIR6727	MIR6727	1
chr1	1324801	1328896	+	CPTP	CPTP	3
chr1	1331279	1335314	+	TAS1R3	TAS1R3	4
chr1	1335277	1349418	-	DVL1	DVL1	5
chr1	1339649	1339708	-	MIR6808	MIR6808	1
chr1	1352688	1363541	-	MXRA8	MXRA8	7
chr1	1373735	1375207	-	AURKAIP1	AURKAIP1	3
chr1	1378639	1379084	+	NDUFB4P8	NDUFB4P8	1
chr1	1385710	1399335	-	CCNL2	CCNL2	14
chr1	1399529	1402046	+	MRPL20-AS1	MRPL20-AS1	1
chr1	1401908	1407293	-	MRPL20	MRPL20	2
chr1	1405459	1405752	-	RN7SL657P	RN7SL657P	1
chr1	1408347	1410684	+	MRPL20-DT	MRPL20-DT	1
chr1	1418419	1421276	-	ANKRD65	ANKRD65	7
chr1	1420165	1423287	+	ANKRD65-AS1	ANKRD65-AS1	1
chr1	1425870	1430255	+	TMEM88B	TMEM88B	1
chr1	1430156	1434573	-	LINC01770	LINC01770	3
chr1	1433232	1435549	+	LOC107985729	LOC107985729	1
chr1	1435689	1442882	+	VWA1	VWA1	2
chr1	1449688	1470163	+	ATAD3C	ATAD3C	1
chr1	1471764	1509466	+	ATAD3B	ATAD3B	10
chr1	1512161	1534685	+	ATAD3A	ATAD3A	6
chr1	1534777	1540624	-	TMEM240	TMEM240	1
chr1	1541672	1574863	-	SSU72	SSU72	1
chr1	1598011	1600135	-	FNDC10	FNDC10	1
chr1	1599432	1607210	+	LOC105378586	LOC105378586	1
chr1	1613730	1630605	+	MIB2	MIB2	31
chr1	1624756	1631786	-	LOC124903821	LOC124903821	1
chr1	1632172	1634654	+	MMP23B	MMP23B	3
chr1	1635224	1659004	-	CDK11B	CDK11B	27
chr1	1661477	1692795	-	SLC35E2B	SLC35E2B	2
chr1	1673282	1674435	+	LOC100288379	LOC100288379	1
chr1	1699938	1701808	+	MMP23A	MMP23A	1
chr1	1702378	1724357	-	CDK11A	CDK11A	6
chr1	1727384	1746070	-	SLC35E2A	SLC35E2A	2
chr1	1735818	1737291	+	LOC100129381	LOC100129381	1
chr1	1745818	1751742	+	LOC112268218	LOC112268218	1
chr1	1751231	1780514	-	NADK	NADK	12
chr1	1785285	1891087	-	GNB1	GNB1	34
chr1	1891179	1892726	+	GNB1-DT	GNB1-DT	2
chr1	1906001	1909126	-	LOC124903822	LOC124903822	1
chr1	1915259	1917296	+	CALML6	CALML6	3
chr1	1917590	1919279	-	TMEM52	TMEM52	4
chr1	1921956	2003786	-	CFAP74	CFAP74	1
chr1	1957367	1959030	+	LOC107984872	LOC107984872	1
chr1	2013197	2018088	-	LOC105378589	LOC105378589	2
chr1	2019344	2030758	+	GABRD	GABRD	3
chr1	2035765	2047447	-	LOC105378590	LOC105378590	3
chr1	2048503	2185395	+	PRKCZ	PRKCZ	35
chr1	2049200	2050070	-	PRKCZ-DT	PRKCZ-DT	1
chr1	2181793	2183875	-	PRKCZ-AS1	PRKCZ-AS1	1
chr1	2184476	2212720	-	FAAP20	FAAP20	24
chr1	2189797	2192458	+	LOC112268219	LOC112268219	1
chr1	2207012	2209335	+	LOC105378593	LOC105378593	1
chr1	2212390	2220749	+	LOC124903823	LOC124903823	1
chr1	2228318	2310213	+	SKI	SKI	5
chr1	2314994	2319268	+	LOC124903824	LOC124903824	4
chr1	2321252	2391554	-	MORN1	MORN1	3
chr1	2350413	2352661	-	LOC100129534	LOC100129534	1
chr1	2391840	2405436	+	RER1	RER1	1
chr1	2403973	2413827	-	PEX10	PEX10	8
chr1	2415942	2505532	+	PLCH2	PLCH2	12
chr1	2508536	2526596	-	PANK4	PANK4	4
chr1	2528744	2530263	-	HES5	HES5	2
chr1	2549919	2557011	-	TNFRSF14-AS1	TNFRSF14-AS1	1
chr1	2554233	2563829	+	TNFRSF14	TNFRSF14	13
chr1	2566534	2584534	+	LOC100996583	LOC100996583	1
chr1	2586522	2591468	+	PRXL2B	PRXL2B	12
chr1	2590638	2633016	-	MMEL1	MMEL1	1
chr1	2628562	2636620	+	MMEL1-AS1	MMEL1-AS1	6
chr1	2636985	2801693	-	TTC34	TTC34	1
chr1	2701376	2702276	+	LOC105378602	LOC105378602	2
chr1	2762487	2763387	+	LOC105378601	LOC105378601	2
chr1	2763418	2767518	+	LOC112268220	LOC112268220	1
chr1	2764563	2765629	+	LOC107985732	LOC107985732	1
chr1	2766072	2766972	+	LOC105378600	LOC105378600	2
chr1	2767827	2784745	+	LOC105378598	LOC105378598	22
chr1	2771825	2772891	+	LOC107984904	LOC107984904	1
chr1	2773494	2774394	+	LOC105378599	LOC105378599	2
chr1	2814057	2817767	+	LOC124903825	LOC124903825	2
chr1	2814384	2816806	-	LOC124903826	LOC124903826	1
chr1	3021466	3022903	+	ACTRT2	ACTRT2	1
chr1	3055422	3075562	-	LOC124903827	LOC124903827	33
chr1	3059616	3067725	-	PRDM16-DT	PRDM16-DT	2
chr1	3069202	3438621	+	PRDM16	PRDM16	2
chr1	3069657	3070697	+	LOC100420339	LOC100420339	1
chr1	3127974	3128035	+	MIR4251	MIR4251	1
chr1	3161280	3166895	-	LOC105378606	LOC105378606	1
chr1	3187557	3195526	+	LOC107984909	LOC107984909	1
chr1	3210735	3213745	-	LOC105378605	LOC105378605	3
chr1	3266944	3297275	+	LOC124903828	LOC124903828	1
chr1	3312744	3323497	-	LOC105378604	LOC105378604	4
chr1	3454664	3481113	+	ARHGEF16	ARHGEF16	6
chr1	3487950	3624786	-	MEGF6	MEGF6	23
chr1	3548479	3550572	+	LOC105378608	LOC105378608	1
chr1	3560694	3560790	-	MIR551A	MIR551A	1
chr1	3625014	3630127	+	TPRG1L	TPRG1L	1
chr1	3630769	3650103	-	WRAP73	WRAP73	5
chr1	3652515	3736201	+	TP73	TP73	15
chr1	3654783	3665396	-	TP73-AS3	TP73-AS3	2
chr1	3735983	3747373	-	TP73-AS1	TP73-AS1	5
chr1	3752449	3771645	+	CCDC27	CCDC27	1
chr1	3772748	3775956	+	SMIM1	SMIM1	5
chr1	3778558	3796498	-	LRRC47	LRRC47	1
chr1	3782814	3783111	+	RN7SL574P	RN7SL574P	1
chr1	3812085	3857211	-	CEP104	CEP104	9
chr1	3849810	3851719	-	LOC124903829	LOC124903829	1
chr1	3857475	3885429	+	DFFB	DFFB	15
chr1	3889132	3900272	-	C1orf174	C1orf174	3
chr1	3900403	3915447	+	LINC01134	LINC01134	1
chr1	3940611	3952583	+	LINC01346	LINC01346	1
chr1	3947148	3948980	-	LINC01345	LINC01345	1
chr1	4175462	4175899	-	EEF1DP6	EEF1DP6	1
chr1	4412050	4424684	+	LINC01777	LINC01777	1
chr1	4432145	4443634	+	LOC105376674	LOC105376674	2
chr1	4552004	4556565	-	LOC124904578	LOC124904578	1
chr1	4571486	4583706	+	LINC01646	LINC01646	1
chr1	4654608	4792534	+	AJAP1	AJAP1	3
chr1	4973390	4983958	+	LINC02781	LINC02781	2
chr1	4992629	4998716	-	LOC124904589	LOC124904589	1
chr1	4997368	5004349	+	LOC102724429	LOC102724429	3
chr1	5090579	5098548	-	LINC02782	LINC02782	2
chr1	5131855	5135311	+	LOC105376682	LOC105376682	1
chr1	5422641	5428379	+	LOC124904590	LOC124904590	1
chr1	5470328	5481317	-	LOC107984911	LOC107984911	1
chr1	5490841	5494629	-	LOC105376686	LOC105376686	4
chr1	5680951	5681026	+	LOC124900451	LOC124900451	1
chr1	5704310	5713958	-	LOC124903830	LOC124903830	2
chr1	5862671	5862741	-	MIR4689	MIR4689	1
chr1	5862810	5992425	-	NPHP4	NPHP4	32
chr1	5992675	6101180	+	KCNAB2	KCNAB2	15
chr1	6085254	6086371	+	LOC124903831	LOC124903831	1
chr1	6101786	6180321	-	CHD5	CHD5	1
chr1	6185019	6199595	-	RPL22	RPL22	1
chr1	6204839	6205780	-	RNF207-AS1	RNF207-AS1	1
chr1	6206118	6221299	+	RNF207	RNF207	10
chr1	6221192	6235964	-	ICMT	ICMT	3
chr1	6236239	6239444	+	ICMT-DT	ICMT-DT	1
chr1	6244178	6245578	+	HES3	HES3	1
chr1	6247352	6261098	-	GPR153	GPR153	3
chr1	6264271	6393767	-	ACOT7	ACOT7	5
chr1	6415231	6419919	-	HES2	HES2	1
chr1	6424775	6461370	+	ESPN	ESPN	13
chr1	6429833	6429896	-	MIR4252	MIR4252	1
chr1	6460785	6466173	-	TNFRSF25	TNFRSF25	6
chr1	6466091	6520092	-	PLEKHG5	PLEKHG5	8
chr1	6521346	6554513	-	NOL9	NOL9	5
chr1	6540853	6540964	+	RNU6-731P	RNU6-731P	1
chr1	6555306	6579755	+	TAS1R1	TAS1R1	4
chr1	6567547	6579433	-	LOC107984912	LOC107984912	2
chr1	6579993	6589280	+	ZBTB48	ZBTB48	15
chr1	6590723	6602869	-	KLHL21	KLHL21	2
chr1	6603446	6613387	-	LOC107984913	LOC107984913	1
chr1	6613730	6624030	+	PHF13	PHF13	2
chr1	6624867	6635595	+	THAP3	THAP3	11
chr1	6634169	6701816	-	DNAJC11	DNAJC11	2
chr1	6724744	6730012	+	LINC01672	LINC01672	2
chr1	6752722	6752821	+	LOC124904847	LOC124904847	1
chr1	6783891	6784980	-	CAMTA1-DT	CAMTA1-DT	1
chr1	6785453	7769706	+	CAMTA1	CAMTA1	56
chr1	6828816	6852145	+	LOC124903832	LOC124903832	1
chr1	6834281	6834637	-	RPL37P9	RPL37P9	1
chr1	7219359	7219524	+	RNU1-8P	RNU1-8P	1
chr1	7364393	7370270	+	LOC124900385	LOC124900385	1
chr1	7382486	7389754	-	CAMTA1-AS2	CAMTA1-AS2	3
chr1	7440566	7441550	-	CAMTA1-AS1	CAMTA1-AS1	3
chr1	7503036	7508625	+	LOC105376691	LOC105376691	1
chr1	7685683	7704690	-	LOC105376689	LOC105376689	8
chr1	7771295	7781432	+	VAMP3	VAMP3	1
chr1	7784290	7845177	+	PER3	PER3	47
chr1	7809136	7827118	-	LOC124903833	LOC124903833	1
chr1	7847611	7913249	-	UTS2	UTS2	4
chr1	7915870	7940839	-	TNFRSF9	TNFRSF9	3
chr1	7930278	7930348	-	TRUND-NNN4-1	TRUND-NNN4-1	1
chr1	7961710	7985505	+	PARK7	PARK7	3
chr1	7999126	8006733	+	LOC124903834	LOC124903834	1
chr1	8011726	8026309	-	ERRFI1	ERRFI1	4
chr1	8026492	8127070	+	ERRFI1-DT	ERRFI1-DT	1
chr1	8057180	8058487	-	RPL7AP18	RPL7AP18	1
chr1	8129154	8147644	-	LOC107984915	LOC107984915	3
chr1	8189825	8192773	+	LOC100129776	LOC100129776	1
chr1	8206433	8206597	-	RNU1-7P	RNU1-7P	1
chr1	8208671	8215210	+	LINC01714	LINC01714	1
chr1	8239957	8249007	+	LOC105376695	LOC105376695	1
chr1	8259370	8296449	+	LOC124903835	LOC124903835	1
chr1	8292156	8292263	-	RNU6-991P	RNU6-991P	1
chr1	8318113	8344165	+	SLC45A1	SLC45A1	7
chr1	8352403	8817640	-	RERE	RERE	3
chr1	8424644	8435016	+	RERE-AS1	RERE-AS1	1
chr1	8494799	8494913	-	SNORD128	SNORD128	1
chr1	8511794	8511919	-	LOC124900452	LOC124900452	1
chr1	8750409	8751091	+	RPL7P11	RPL7P11	1
chr1	8786128	8786951	-	RPL7P7	RPL7P7	1
chr1	8798437	8799557	+	RPL27P3	RPL27P3	1
chr1	8831112	8831432	+	RPL23AP19	RPL23AP19	1
chr1	8860999	8878686	-	ENO1	ENO1	3
chr1	8866501	8866590	-	MIR6728	MIR6728	1
chr1	8878834	8879885	+	ENO1-AS1	ENO1-AS1	1
chr1	8883426	8883533	-	RNU6-304P	RNU6-304P	1
chr1	8893410	8894603	+	HMGN2P17	HMGN2P17	1
chr1	8905215	8926874	-	LOC112268261	LOC112268261	2
chr1	8945867	8975092	+	CA6	CA6	6
chr1	8979575	8979874	-	RN7SL451P	RN7SL451P	1
chr1	8992533	9026423	-	SLC2A7	SLC2A7	3
chr1	9035105	9094195	-	SLC2A5	SLC2A5	16
chr1	9082695	9082879	+	LOC124900441	LOC124900441	1
chr1	9100304	9129102	-	GPR157	GPR157	4
chr1	9148010	9182338	-	MIR34AHG	MIR34AHG	1
chr1	9151667	9151777	-	MIR34A	MIR34A	1
chr1	9182203	9192086	+	LNCTAM34A	LNCTAM34A	1
chr1	9234773	9271337	+	H6PD	H6PD	9
chr1	9241962	9242718	-	LOC124903836	LOC124903836	1
chr1	9292893	9369532	+	SPSB1	SPSB1	1
chr1	9425093	9428996	-	LINC02606	LINC02606	2
chr1	9437668	9437778	-	RNA5SP40	RNA5SP40	1
chr1	9539464	9585173	+	SLC25A33	SLC25A33	1
chr1	9576404	9577081	+	RPL9P11	RPL9P11	1
chr1	9588910	9614877	+	TMEM201	TMEM201	9
chr1	9614663	9622316	+	LOC124903837	LOC124903837	1
chr1	9627257	9729114	+	PIK3CD	PIK3CD	38
chr1	9628446	9629427	-	LOC105376712	LOC105376712	1
chr1	9652609	9654586	-	PIK3CD-AS1	PIK3CD-AS1	1
chr1	9662287	9662628	-	RPL26P7	RPL26P7	1
chr1	9672425	9687574	-	PIK3CD-AS2	PIK3CD-AS2	3
chr1	9718102	9718736	-	LOC124903839	LOC124903839	1
chr1	9728925	9824526	-	CLSTN1	CLSTN1	4
chr1	9780821	9781440	+	MZT1P1	MZT1P1	1
chr1	9848275	9910269	-	CTNNBIP1	CTNNBIP1	7
chr1	9850664	9855492	+	LOC105376717	LOC105376717	1
chr1	9879946	9883698	-	LOC124903838	LOC124903838	1
chr1	9922117	9943391	-	LZIC	LZIC	8
chr1	9942922	9996892	+	NMNAT1	NMNAT1	10
chr1	9947317	9947562	+	RN7SKP269	RN7SKP269	1
chr1	9950571	9960787	-	TMEM274P	TMEM274P	1
chr1	9967380	9967458	+	MIR5697	MIR5697	1
chr1	9996718	9998089	-	LOC124903840	LOC124903840	1
chr1	9997227	10016021	+	RBP7	RBP7	2
chr1	10032957	10181239	+	UBE4B	UBE4B	8
chr1	10054411	10054781	-	RPL21P21	RPL21P21	1
chr1	10058672	10059654	+	PGAM1P11	PGAM1P11	1
chr1	10163267	10163374	+	RNU6-828P	RNU6-828P	1
chr1	10210569	10381603	+	KIF1B	KIF1B	5
chr1	10298965	10299070	+	RNU6-37P	RNU6-37P	1
chr1	10306464	10306757	+	RN7SL731P	RN7SL731P	1
chr1	10399063	10420511	+	PGD	PGD	3
chr1	10430432	10442808	+	CENPS	CENPS	2
chr1	10430432	10452153	+	CENPS-CORT	CENPS-CORT	5
chr1	10450030	10451998	+	CORT	CORT	1
chr1	10456521	10472529	-	DFFA	DFFA	2
chr1	10474949	10630758	+	PEX14	PEX14	10
chr1	10616835	10617115	+	RN7SL614P	RN7SL614P	1
chr1	10636603	10796646	-	CASZ1	CASZ1	6
chr1	10809159	10815658	-	LOC105376733	LOC105376733	1
chr1	10895760	10895998	+	HSPE1P24	HSPE1P24	1
chr1	10912911	10918733	-	LOC105376735	LOC105376735	1
chr1	10946474	10982076	-	C1orf127	C1orf127	6
chr1	10989809	10991829	-	CFL1P6	CFL1P6	1
chr1	11012653	11030528	+	TARDBP	TARDBP	8
chr1	11026522	11047239	-	MASP2	MASP2	5
chr1	11054588	11060018	-	SRM	SRM	1
chr1	11066617	11099869	-	EXOSC10	EXOSC10	5
chr1	11099674	11102105	+	EXOSC10-AS1	EXOSC10-AS1	3
chr1	11106534	11262551	-	MTOR	MTOR	8
chr1	11143897	11149538	+	MTOR-AS1	MTOR-AS1	1
chr1	11152349	11152413	+	RNU6-537P	RNU6-537P	1
chr1	11169506	11169613	-	LOC124904848	LOC124904848	1
chr1	11189354	11195981	+	ANGPTL7	ANGPTL7	3
chr1	11226253	11226360	+	RNU6-291P	RNU6-291P	1
chr1	11232909	11233313	+	RPL39P6	RPL39P6	1
chr1	11273197	11299574	+	UBIAD1	UBIAD1	4
chr1	11278413	11279275	-	UBE2V2P3	UBE2V2P3	1
chr1	11311875	11316302	-	LOC105376737	LOC105376737	1
chr1	11357944	11365055	+	LOC105376739	LOC105376739	1
chr1	11371688	11377536	+	LOC105376740	LOC105376740	2
chr1	11394934	11398213	+	LOC124903841	LOC124903841	1
chr1	11425256	11425821	-	MTCYBP45	MTCYBP45	1
chr1	11479154	11537551	+	DISP3	DISP3	10
chr1	11495947	11499474	-	LOC124903842	LOC124903842	1
chr1	11609530	11613355	+	LINC01647	LINC01647	1
chr1	11648386	11654429	-	FBXO2	FBXO2	1
chr1	11654406	11663327	+	FBXO44	FBXO44	28
chr1	11664199	11674354	+	FBXO6	FBXO6	5
chr1	11674479	11691830	-	MAD2L2	MAD2L2	3
chr1	11686634	11725857	+	DRAXIN	DRAXIN	2
chr1	11736135	11750769	+	AGTRAP	AGTRAP	8
chr1	11761378	11762321	-	LOC101060126	LOC101060126	1
chr1	11762192	11789585	+	C1orf167	C1orf167	15
chr1	11777076	11779619	-	C1orf167-AS1	C1orf167-AS1	1
chr1	11785722	11805964	-	MTHFR	MTHFR	12
chr1	11806190	11843130	+	CLCN6	CLCN6	3
chr1	11840318	11847616	+	NPPA-AS1	NPPA-AS1	1
chr1	11845708	11847783	-	NPPA	NPPA	1
chr1	11857463	11858945	-	NPPB	NPPB	1
chr1	11877768	11880758	+	SBF1P2	SBF1P2	1
chr1	11908153	11908272	+	RNU5E-1	RNU5E-1	1
chr1	11909807	11909927	-	RNU5E-4P	RNU5E-4P	1
chr1	11911492	11913226	+	LOC124903843	LOC124903843	1
chr1	11919590	11926427	-	KIAA2013	KIAA2013	1
chr1	11934716	11975537	+	PLOD1	PLOD1	2
chr1	11980443	12013508	+	MFN2	MFN2	8
chr1	12019497	12032045	+	MIIP	MIIP	4
chr1	12029157	12029222	+	MIR6729	MIR6729	1
chr1	12036739	12037014	-	RN7SL649P	RN7SL649P	1
chr1	12063302	12144207	+	TNFRSF8	TNFRSF8	6
chr1	12077880	12077984	-	RNU6-777P	RNU6-777P	1
chr1	12080249	12080546	-	RPL23AP89	RPL23AP89	1
chr1	12166942	12167038	+	MIR7846	MIR7846	1
chr1	12166990	12209220	+	TNFRSF1B	TNFRSF1B	6
chr1	12176178	12180309	+	LOC124903844	LOC124903844	1
chr1	12191712	12191773	+	MIR4632	MIR4632	1
chr1	12220726	12221109	-	RPL10P17	RPL10P17	1
chr1	12221147	12221271	-	LOC124900427	LOC124900427	1
chr1	12230029	12512047	+	VPS13D	VPS13D	2
chr1	12356723	12368869	-	LOC124903845	LOC124903845	1
chr1	12409167	12409251	-	LOC124904680	LOC124904680	1
chr1	12507245	12507397	+	SNORA59A	SNORA59A	1
chr1	12525263	12535608	+	LINC02766	LINC02766	6
chr1	12567909	12618210	-	DHRS3	DHRS3	6
chr1	12569971	12570072	-	RNU6ATAC18P	RNU6ATAC18P	1
chr1	12578956	12579023	-	MIR6730	MIR6730	1
chr1	12644084	12667076	+	AADACL4	AADACL4	2
chr1	12702893	12707849	-	LOC124903846	LOC124903846	1
chr1	12716109	12728760	+	AADACL3	AADACL3	2
chr1	12739735	12739839	+	LOC124904811	LOC124904811	1
chr1	12746199	12763699	+	CFAP107	CFAP107	2
chr1	12773737	12777906	+	PRAMEF12	PRAMEF12	1
chr1	12791396	12796628	+	PRAMEF1	PRAMEF1	2
chr1	12822685	12823223	-	LINC01784	LINC01784	1
chr1	12824604	12831410	-	PRAMEF11	PRAMEF11	2
chr1	12838469	12841383	-	PRAMEF30P	PRAMEF30P	1
chr1	12847376	12848720	-	HNRNPCL1	HNRNPCL1	1
chr1	12857085	12861909	+	PRAMEF2	PRAMEF2	2
chr1	12879211	12886201	-	PRAMEF4	PRAMEF4	1
chr1	12892895	12898270	-	PRAMEF10	PRAMEF10	1
chr1	12916609	12920751	+	PRAMEF7	PRAMEF7	1
chr1	12922553	12922659	+	RNU6-1072P	RNU6-1072P	1
chr1	12926161	12928882	+	PRAMEF29P	PRAMEF29P	1
chr1	12938471	12947580	-	PRAMEF6	PRAMEF6	1
chr1	13029363	13032130	+	PRAMEF28P	PRAMEF28P	1
chr1	13049475	13056575	-	PRAMEF27	PRAMEF27	1
chr1	13060768	13062878	+	HNRNPCL3	HNRNPCL3	1
chr1	13070773	13077884	+	PRAMEF25	PRAMEF25	1
chr1	13094514	13099717	-	PRAMEF34P	PRAMEF34P	1
chr1	13104374	13105689	-	PRAMEF35P	PRAMEF35P	1
chr1	13115487	13116854	-	HNRNPCL2	HNRNPCL2	1
chr1	13127068	13132274	+	PRAMEF36P	PRAMEF36P	1
chr1	13148906	13156009	-	PRAMEF26	PRAMEF26	1
chr1	13163913	13165631	-	HNRNPCL4	HNRNPCL4	1
chr1	13171847	13179459	+	PRAMEF9	PRAMEF9	1
chr1	13196187	13201409	-	PRAMEF13	PRAMEF13	2
chr1	13222694	13226154	-	PRAMEF18	PRAMEF18	1
chr1	13245836	13248814	+	PRAMEF31P	PRAMEF31P	1
chr1	13254197	13263435	+	PRAMEF5	PRAMEF5	1
chr1	13272906	13275627	-	PRAMEF32P	PRAMEF32P	1
chr1	13279125	13279231	-	RNU6-771P	RNU6-771P	1
chr1	13281303	13285137	-	PRAMEF8	PRAMEF8	2
chr1	13303538	13308907	+	PRAMEF33	PRAMEF33	1
chr1	13315580	13322598	+	PRAMEF15	PRAMEF15	1
chr1	13341891	13347134	-	PRAMEF14	PRAMEF14	1
chr1	13368430	13371947	-	PRAMEF19	PRAMEF19	1
chr1	13389631	13392629	+	PRAMEF17	PRAMEF17	1
chr1	13410449	13421328	+	PRAMEF20	PRAMEF20	1
chr1	13474972	13514003	-	LRRC38	LRRC38	2
chr1	13487570	13492872	+	LOC102724856	LOC102724856	2
chr1	13513219	13516264	+	LOC107984918	LOC107984918	1
chr1	13554912	13555894	+	BRWD1P1	BRWD1P1	1
chr1	13583756	13617957	+	PDPN	PDPN	8
chr1	13623183	13623284	-	RNA5SP41	RNA5SP41	1
chr1	13670193	13674718	+	LOC105378612	LOC105378612	1
chr1	13687046	13691892	-	LOC105376756	LOC105376756	1
chr1	13696069	13696199	-	LOC124900446	LOC124900446	1
chr1	13700187	13825079	+	PRDM2	PRDM2	14
chr1	13892823	15118043	+	KAZN	KAZN	22
chr1	14124232	14124335	-	RNU6-1265P	RNU6-1265P	1
chr1	14201944	14255662	+	LOC107985467	LOC107985467	2
chr1	14283513	14311343	+	LOC124903847	LOC124903847	1
chr1	14348954	14419973	-	KAZN-AS1	KAZN-AS1	1
chr1	14493048	14502155	+	LOC124903850	LOC124903850	1
chr1	14691936	14692400	-	TBCAP2	TBCAP2	1
